MIN,Acute_Load_5G,Chronic_Load_15G,Injury_Class
20,20.0,20.0,0
13,16.5,16.5,0
14,15.666666666666666,15.666666666666666,0
15,15.5,15.5,0
23,17.0,17.0,0
19,16.8,17.333333333333332,0
18,17.8,17.428571428571427,0
19,18.8,17.625,0
24,20.6,18.333333333333332,0
28,21.6,19.3,0
26,23.0,19.90909090909091,0
32,25.8,20.916666666666668,0
10,24.0,20.076923076923077,0
23,23.8,20.285714285714285,0
21,22.4,20.333333333333332,0
32,23.6,21.133333333333333,0
29,23.0,22.2,0
17,24.4,22.4,0
31,26.0,23.466666666666665,0
28,27.4,23.8,0
25,26.0,24.2,0
34,27.0,25.266666666666666,0
32,30.0,26.133333333333333,0
31,30.0,26.6,0
24,29.2,26.333333333333332,0
26,29.4,26.333333333333332,0
34,29.4,26.466666666666665,0
24,27.8,27.4,0
29,27.4,27.8,0
11,24.8,27.133333333333333,1
10,21.6,25.666666666666668,1
15,17.8,24.733333333333334,0
31,19.2,25.666666666666668,0
30,19.4,25.6,0
37,24.6,26.2,0
27,28.0,26.333333333333332,0
33,31.6,26.266666666666666,0
32,31.8,26.266666666666666,0
28,31.4,26.066666666666666,0
29,29.8,26.4,0
34,31.2,26.933333333333334,0
29,30.4,26.6,0
27,29.4,26.8,0
40,31.8,27.533333333333335,0
40,34.0,29.466666666666665,0
31,33.4,30.866666666666667,0
37,35.0,32.333333333333336,0
31,35.8,32.333333333333336,0
35,34.8,32.666666666666664,0
33,33.4,32.4,0
27,32.6,32.4,0
29,31.0,32.13333333333333,0
30,30.8,32.0,0
32,30.2,32.266666666666666,0
31,29.8,32.4,0
33,31.0,32.333333333333336,0
29,31.0,32.333333333333336,0
36,32.2,32.93333333333333,0
7,27.2,30.733333333333334,0
25,26.0,29.733333333333334,0
34,26.2,29.933333333333334,0
33,27.0,29.666666666666668,0
35,26.8,29.933333333333334,0
29,31.2,29.533333333333335,0
27,31.6,29.133333333333333,0
34,31.6,29.6,0
35,32.0,30.0,0
33,31.6,30.2,0
33,32.4,30.266666666666666,0
33,33.6,30.4,0
3,3.0,3.0,0
4,3.5,3.5,0
4,3.6666666666666665,3.6666666666666665,0
1,3.0,3.0,0
4,3.2,3.2,0
26,26.0,26.0,0
33,29.5,29.5,0
35,31.333333333333332,31.333333333333332,0
33,31.75,31.75,0
31,31.6,31.6,0
36,33.6,32.333333333333336,0
34,33.8,32.57142857142857,0
39,34.6,33.375,0
39,35.8,34.0,0
44,38.4,35.0,0
39,39.0,35.36363636363637,0
40,40.2,35.75,0
32,38.8,35.46153846153846,0
38,38.6,35.642857142857146,0
31,36.0,35.333333333333336,0
36,35.4,36.0,0
35,34.4,36.13333333333333,0
39,35.8,36.4,0
33,34.8,36.4,0
25,33.6,36.0,0
34,33.2,35.86666666666667,0
36,33.4,36.0,0
35,32.6,35.733333333333334,0
41,34.2,35.86666666666667,0
36,36.4,35.333333333333336,0
