Date,player_name,Reason
2016-10-25,Festus Ezeli,placed on IL with sore left knee (out for season)
2016-10-25,Tim Quarterman,placed on IL
2016-10-25,Kahlil Felder,placed on IL with concussion
2016-10-25,Alec Burks,placed on IL with sore leg
2016-10-25,Gordon Hayward,placed on IL with fractured left ring finger
2016-10-25,Marshall Plumlee,placed on IL
2016-10-25,Maurice Ndour,placed on IL
2016-10-25,Danny Green,placed on IL with strained left quadricep
2016-10-25,Dejounte Murray,placed on IL
2016-10-25,Damian Jones,placed on IL with torn pectoral muscle
2016-10-25,James Michael McAdoo,placed on IL
2016-10-26,Ben Simmons,placed on IL recovering from surgery on right foot to repair fracture (out for season)
2016-10-26,Jerryd Bayless,placed on IL with sore left wrist
2016-10-26,Nerlens Noel,placed on IL recovering from surgery on left knee
2016-10-26,Khris Middleton,placed on IL recovering from surgery to repair torn left hamstring
2016-10-26,Tony Snell,placed on IL with sprained left ankle
2016-10-26,Kelly Olynyk,placed on IL recovering from surgery on right shoulder
2016-10-26,Marcus Smart,placed on IL with sprained left ankle
2016-10-26,Brandan Wright,placed on IL with sore left ankle (CBC) / knee (P)
2016-10-26,Chandler Parsons,placed on IL with sore right knee
2016-10-26,Chris Bosh,placed on IL with blood clots (out for season)
2016-10-26,Wayne Ellington,placed on IL with bruised right quadriceps
2016-10-26,Brian Roberts,placed on IL with sore left hamstring
2016-10-26,Frank Kaminsky,placed on IL with strained right foot
2016-10-26,Georgios Papagiannis,placed on IL
2016-10-26,Skal Labissiere,placed on IL
2016-10-26,Ivica Zubac,placed on IL
2016-10-26,Jose Calderon,placed on IL with strained left calf
2016-10-26,Jodie Meeks,placed on IL recovering from surgery on right foot
2016-10-26,Stephen Zimmerman Jr.,placed on IL
2016-10-26,A.J. Hammons,placed on IL
2016-10-26,Devin Harris,placed on IL with strained right big toe
2016-10-26,Caris LeVert,placed on IL with sore foot
2016-10-26,Randy Foye,placed on IL with strained hamstring
2016-10-26,Darrell Arthur,placed on IL recovering from surgery on left knee
2016-10-26,Gary Harris,placed on IL with strained right groin
2016-10-26,Georges Niang,placed on IL
2016-10-26,Rakeem Christmas,placed on IL
2016-10-26,Quincy Pondexter,placed on IL with recovering from surgery on left knee (out for season)
2016-10-26,Tyreke Evans,placed on IL with recovering from surgery on right knee
2016-10-26,Reggie Bullock,placed on IL with back injury
2016-10-26,Reggie Jackson (Shon),placed on IL with left knee injury
2016-10-26,Delon Wright,placed on IL recovering from arthroscopic surgery on right shoulder to repair torn labrum
2016-10-26,Jared Sullinger,placed on IL recovering from surgery on left foot to insert screw to repair stress fracture
2016-10-26,Chinanu Onuaku,placed on IL
2016-10-26,Patrick Beverley,placed on IL recovering from surgery on left knee
2016-10-26,Derrick Jones Jr.,placed on IL
2016-10-26,John Jenkins,placed on IL with strained abdominal (DTD)
2016-10-26,Cameron Payne,placed on IL recovering from surgery on right foot to repair fracture
2016-10-26,Josh Huestis,placed on IL
2016-10-26,John Lucas III,placed on IL
2016-10-26,Nikola Pekovic,placed on IL with right ankle injury (out for season)
2016-10-27,Jerian Grant,placed on IL
2016-10-27,Brice Johnson,placed on IL with herniated disc in lower back
2016-10-27,Paul Pierce,placed on IL with sprained ankle
2016-10-27,(James) Mike Scott,placed on IL with left knee injury (DTD)
2016-10-27,Tiago Splitter,placed on IL with strained right calf
2016-10-27,Danuel House Jr.,placed on IL
2016-10-27,Ian Mahinmi,placed on IL recovering from surgery on left knee to repair torn medial meniscus
2016-10-28,Aaron Harrison,placed on IL
2016-10-28,Aaron Brooks,placed on IL with sore knee
2016-10-28,Chinanu Onuaku,placed on IL (P)
2016-10-29,R.J. Hunter,placed on IL
