SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name
22024,1630173,0022401188,"Apr 13, 2025",NYK @ BKN,W,33,8,18,0.444,0,0,0.0,2,4,0.5,1,8,9,2,2,0,2,4,18,19,1,1630173,Precious Achiuwa
22024,1630173,0022401175,"Apr 11, 2025",NYK vs. CLE,L,15,0,5,0.0,0,0,0.0,0,0,0.0,0,6,6,0,2,1,1,2,0,-9,1,1630173,Precious Achiuwa
22024,1630173,0022401167,"Apr 10, 2025",NYK @ DET,L,40,8,13,0.615,1,4,0.25,1,1,1.0,1,9,10,3,2,3,0,3,18,-7,1,1630173,Precious Achiuwa
22024,1630173,0022401128,"Apr 05, 2025",NYK @ ATL,W,25,3,8,0.375,0,0,0.0,0,0,0.0,1,2,3,0,0,2,1,2,6,-10,1,1630173,Precious Achiuwa
22024,1630173,0022401103,"Apr 02, 2025",NYK @ CLE,L,21,5,9,0.556,0,0,0.0,3,4,0.75,2,4,6,1,1,2,0,1,13,-10,1,1630173,Precious Achiuwa
22024,1630173,0022401098,"Apr 01, 2025",NYK vs. PHI,W,27,1,11,0.091,0,0,0.0,0,2,0.0,3,6,9,1,1,1,2,1,2,8,1,1630173,Precious Achiuwa
22024,1630173,0022401082,"Mar 30, 2025",NYK vs. POR,W,11,5,6,0.833,0,0,0.0,0,2,0.0,0,2,2,0,0,0,2,0,10,-2,1,1630173,Precious Achiuwa
22024,1630173,0022401070,"Mar 28, 2025",NYK @ MIL,W,6,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,9,1,1630173,Precious Achiuwa
22024,1630173,0022401056,"Mar 26, 2025",NYK vs. LAC,L,8,2,3,0.667,0,0,0.0,2,2,1.0,1,2,3,0,0,0,0,0,6,2,1,1630173,Precious Achiuwa
22024,1630173,0022401048,"Mar 25, 2025",NYK vs. DAL,W,20,5,7,0.714,0,0,0.0,1,1,1.0,0,2,2,2,2,1,2,0,11,-1,1,1630173,Precious Achiuwa
22024,1630173,0022401026,"Mar 22, 2025",NYK vs. WAS,W,12,2,3,0.667,0,0,0.0,0,0,0.0,3,2,5,2,0,0,1,0,4,11,1,1630173,Precious Achiuwa
22024,1630173,0022401010,"Mar 20, 2025",NYK @ CHA,L,17,1,5,0.2,0,2,0.0,0,2,0.0,2,4,6,0,1,0,2,3,2,-5,1,1630173,Precious Achiuwa
22024,1630173,0022401003,"Mar 19, 2025",NYK @ SAS,L,7,2,3,0.667,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,4,-14,1,1630173,Precious Achiuwa
22024,1630173,0022400984,"Mar 17, 2025",NYK vs. MIA,W,10,2,3,0.667,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,4,10,1,1630173,Precious Achiuwa
22024,1630173,0022400974,"Mar 15, 2025",NYK @ GSW,L,10,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,0,-3,1,1630173,Precious Achiuwa
22024,1630173,0022400953,"Mar 12, 2025",NYK @ POR,W,9,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-4,1,1630173,Precious Achiuwa
22024,1630173,0022400939,"Mar 10, 2025",NYK @ SAC,W,5,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-3,1,1630173,Precious Achiuwa
22024,1630173,0022400911,"Mar 07, 2025",NYK @ LAC,L,16,4,6,0.667,0,0,0.0,1,1,1.0,1,4,5,2,0,1,0,0,9,3,1,1630173,Precious Achiuwa
22024,1630173,0022400885,"Mar 04, 2025",NYK vs. GSW,L,30,4,10,0.4,0,1,0.0,0,0,0.0,4,11,15,0,0,1,0,2,8,-2,1,1630173,Precious Achiuwa
22024,1630173,0022400856,"Feb 28, 2025",NYK @ MEM,W,4,1,2,0.5,0,0,0.0,1,1,1.0,1,0,1,0,0,0,0,2,3,0,1,1630173,Precious Achiuwa
22024,1630173,0022400838,"Feb 26, 2025",NYK vs. PHI,W,31,3,6,0.5,0,0,0.0,1,2,0.5,2,4,6,2,0,4,2,2,7,3,1,1630173,Precious Achiuwa
22024,1630173,0022400811,"Feb 23, 2025",NYK @ BOS,L,15,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,1,1,0,-9,1,1630173,Precious Achiuwa
22024,1630173,0022400797,"Feb 21, 2025",NYK @ CLE,L,28,3,10,0.3,0,0,0.0,1,2,0.5,5,5,10,1,0,0,1,1,7,-25,1,1630173,Precious Achiuwa
22024,1630173,0022400792,"Feb 20, 2025",NYK vs. CHI,W,46,5,11,0.455,1,3,0.333,0,0,0.0,0,9,9,0,3,0,1,2,11,0,1,1630173,Precious Achiuwa
22024,1630173,0022400773,"Feb 12, 2025",NYK vs. ATL,W,42,12,16,0.75,0,1,0.0,2,3,0.667,3,5,8,1,1,2,0,2,26,2,1,1630173,Precious Achiuwa
